playerID,year,contractSalary,contractCreateDate,contractExpireDate,year_signed,contract_years
00-0035436,2023,0.87,2023-03-01,2024-03-01,2023,1
00-0039386,2026,1.068569,2024-03-01,2028-03-01,2024,4
00-0031020,2016,0.5962,2014-03-01,2018-03-01,2014,4
00-0037268,2027,16.0,2025-03-01,2028-03-01,2025,3
00-0024271,2012,4.0,2011-03-01,2015-03-01,2011,4
00-0033925,2022,2.0,2022-03-01,2023-03-01,2022,1
00-0029258,2013,0.942101,2012-03-01,2016-03-01,2012,4
00-0028007,2014,0.911273,2011-03-01,2015-03-01,2011,4
00-0035807,2022,0.705,2022-03-01,2023-03-01,2022,1
00-0032714,2016,0.54,2016-03-01,2019-03-01,2016,3
00-0033117,2019,0.645,2019-03-01,2020-03-01,2019,1
00-0034832,2020,6.81781,2018-03-01,2022-03-01,2018,4
00-0030565,2017,1.2,2017-03-01,2018-03-01,2017,1
00-0038132,2024,0.795,2024-03-01,2025-03-01,2024,1
00-0027187,2017,1.0,2015-03-01,2019-03-01,2015,4
00-0033280,2025,19.0,2024-03-01,2026-03-01,2024,2
00-0032429,2020,0.825,2020-03-01,2021-03-01,2020,1
00-0033904,2021,14.575,2020-03-01,2024-03-01,2020,4
00-0033726,2018,0.525,2018-03-01,2020-03-01,2018,2
00-0027978,2016,4.25,2015-03-01,2019-03-01,2015,4
00-0029166,2012,0.0,2012-03-01,2013-03-01,2012,1
00-0026994,2009,2.6,2009-03-01,2014-03-01,2009,5
00-0033982,2018,0.555,2017-03-01,2020-03-01,2017,3
00-0036330,2020,1.121289,2020-03-01,2024-03-01,2020,4
00-0030084,2016,0.5895,2013-03-01,2017-03-01,2013,4
00-0033758,2021,0.92,2021-03-01,2022-03-01,2021,1
00-0031335,2019,0.7975,2018-03-01,2020-03-01,2018,2
00-0040151,2027,1.540296,2025-03-01,2029-03-01,2025,4
00-0035717,2026,34.0,2023-03-01,2028-03-01,2023,5
00-0030997,2021,1.2125,2021-03-01,2022-03-01,2021,1
00-0031639,2016,0.475,2015-03-01,2018-03-01,2015,3
00-0033766,2019,0.57,2018-03-01,2021-03-01,2018,3
00-0036619,2021,1.581719,2021-03-01,2025-03-01,2021,4
00-0036483,2023,0.891344,2021-03-01,2025-03-01,2021,4
00-0029612,2016,0.645,2016-03-01,2018-03-01,2016,2
00-0032958,2016,0.610089,2016-03-01,2020-03-01,2016,4
00-0035267,2021,0.752098,2019-03-01,2023-03-01,2019,4
00-0028339,2023,3.85,2022-03-01,2024-03-01,2022,2
00-0035218,2020,0.51,2020-03-01,2021-03-01,2020,1
00-0028067,2018,9.2,2015-03-01,2020-03-01,2015,5
00-0036118,2021,0.233866,2021-03-01,2022-03-01,2021,1
00-0039305,2026,0.951667,2024-03-01,2027-03-01,2024,3
00-0031294,2016,0.495,2016-03-01,2018-03-01,2016,2
00-0032574,2019,3.095,2019-03-01,2020-03-01,2019,1
00-0024228,2013,7.0,2012-03-01,2017-03-01,2012,5
00-0032836,2016,0.49,2016-03-01,2019-03-01,2016,3
00-0031375,2017,1.797,2017-03-01,2018-03-01,2017,1
00-0040466,2026,0.99,2025-03-01,2028-03-01,2025,3
00-0024348,2010,3.675,2008-03-01,2011-03-01,2008,3
00-0024348,2012,7.5,2011-03-01,2015-03-01,2011,4
00-0035235,2026,15.0,2025-03-01,2027-03-01,2025,2
00-0040149,2027,1.540296,2025-03-01,2029-03-01,2025,4
00-0033542,2017,1.666727,2017-03-01,2021-03-01,2017,4
00-0027744,2014,2.625,2014-03-01,2016-03-01,2014,2
00-0031373,2016,0.664805,2014-03-01,2018-03-01,2014,4
00-0034450,2019,0.61,2019-03-01,2022-03-01,2019,3
00-0039502,2026,0.948333,2024-03-01,2027-03-01,2024,3
00-0032136,2018,0.755,2018-03-01,2020-03-01,2018,2
00-0031583,2022,17.0,2019-03-01,2023-03-01,2019,4
00-0028656,2,0.495,,0003-03-01,0,3
00-0026236,2009,0.579088,2008-03-01,2012-03-01,2008,4
00-0033907,2022,5.0,2021-03-01,2023-03-01,2021,2
00-0031407,2016,5.163701,2014-03-01,2018-03-01,2014,4
00-0028139,2013,0.555,2013-03-01,2014-03-01,2013,1
00-0032767,2016,1.107743,2016-03-01,2020-03-01,2016,4
00-0031428,2015,0.877718,2014-03-01,2018-03-01,2014,4
00-0035463,2021,0.555,2020-03-01,2022-03-01,2020,2
00-0031459,2016,0.51,2014-03-01,2017-03-01,2014,3
00-0027187,2021,1.075,2021-03-01,2022-03-01,2021,1
00-0034456,2021,0.233866,2021-03-01,2022-03-01,2021,1
00-0031373,2014,0.664805,2014-03-01,2018-03-01,2014,4
00-0032425,2016,0.636115,2016-03-01,2020-03-01,2016,4
00-0026964,2011,0.447259,2009-03-01,2013-03-01,2009,4
00-0036198,2023,0.874367,2020-03-01,2024-03-01,2020,4
00-0035281,2020,0.701696,2019-03-01,2023-03-01,2019,4
